Nazioni;Anno;Percentuale popolazione con istruzione universitaria
Austria;2001;
Austria;2002;
Austria;2003;
Austria;2004;21.0
Austria;2005;20.5
Austria;2006;21.2
Austria;2007;21.1
Austria;2008;22.2
Austria;2009;23.5
Austria;2010;23.5
Austria;2011;23.8
Austria;2012;26.3
Austria;2013;27.3
Belgio;2001;35.2
Belgio;2002;35.2
Belgio;2003;37.7
Belgio;2004;39.9
Belgio;2005;39.1
Belgio;2006;41.4
Belgio;2007;41.5
Belgio;2008;42.9
Belgio;2009;42.0
Belgio;2010;44.4
Belgio;2011;42.6
Belgio;2012;43.9
Belgio;2013;42.7
Bulgaria;2001;23.6
Bulgaria;2002;23.2
Bulgaria;2003;23.6
Bulgaria;2004;25.2
Bulgaria;2005;24.9
Bulgaria;2006;25.3
Bulgaria;2007;26.0
Bulgaria;2008;27.1
Bulgaria;2009;27.9
Bulgaria;2010;27.7
Bulgaria;2011;27.3
Bulgaria;2012;26.9
Bulgaria;2013;29.4
Croazia;2001;
Croazia;2002;16.2
Croazia;2003;16.9
Croazia;2004;16.8
Croazia;2005;17.4
Croazia;2006;16.7
Croazia;2007;16.7
Croazia;2008;18.5
Croazia;2009;20.6
Croazia;2010;24.3
Croazia;2011;24.5
Croazia;2012;23.7
Croazia;2013;25.6
Cipro;2001;32.7
Cipro;2002;36.0
Cipro;2003;39.9
Cipro;2004;41.0
Cipro;2005;40.8
Cipro;2006;46.1
Cipro;2007;46.2
Cipro;2008;47.1
Cipro;2009;45.0
Cipro;2010;45.3
Cipro;2011;46.2
Cipro;2012;49.9
Cipro;2013;47.8
Repubblica Ceca;2001;13.3
Repubblica Ceca;2002;12.6
Repubblica Ceca;2003;12.6
Repubblica Ceca;2004;12.7
Repubblica Ceca;2005;13.0
Repubblica Ceca;2006;13.1
Repubblica Ceca;2007;13.3
Repubblica Ceca;2008;15.4
Repubblica Ceca;2009;17.5
Repubblica Ceca;2010;20.4
Repubblica Ceca;2011;23.7
Repubblica Ceca;2012;25.6
Repubblica Ceca;2013;26.7
Danimarca;2001;32.9
Danimarca;2002;34.2
Danimarca;2003;38.2
Danimarca;2004;41.4
Danimarca;2005;43.1
Danimarca;2006;43.0
Danimarca;2007;38.1
Danimarca;2008;39.2
Danimarca;2009;40.7
Danimarca;2010;41.2
Danimarca;2011;41.2
Danimarca;2012;43.0
Danimarca;2013;43.4
Estonia;2001;28.5
Estonia;2002;27.7
Estonia;2003;28.0
Estonia;2004;28.3
Estonia;2005;31.7
Estonia;2006;32.5
Estonia;2007;33.5
Estonia;2008;34.4
Estonia;2009;36.3
Estonia;2010;40.2
Estonia;2011;40.2
Estonia;2012;39.5
Estonia;2013;43.7
Finlandia;2001;41.6
Finlandia;2002;41.2
Finlandia;2003;41.7
Finlandia;2004;43.4
Finlandia;2005;43.7
Finlandia;2006;46.2
Finlandia;2007;47.3
Finlandia;2008;45.7
Finlandia;2009;45.9
Finlandia;2010;45.7
Finlandia;2011;46.0
Finlandia;2012;45.8
